ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
971,"MARKER/pluralizer",,
972,"MARKER/present tense",,
973,"MARKER/progressive",,
974,"MARKER/question",,
975,"MARKER/subjunctive",,
976,"MARKER/topicalizer",,
977,"MARKER/verbalizer",,
979,"MAYORDOMO",,
982,"MERCILESSLY",,
983,"MESSENGER",,
984,"MIND/n",,
985,"MISTRESS",,
987,"MONKEY/howler",,
988,"MOON/full",,
995,"NAMESAKE",,
996,"NICKNAME",,
997,"NOPAL/CACTUS",,
999,"NUMERAL CLASSIFIER",,
1002,"ON/ON TOP OF",,
1003,"ONCE",,
1009,"ORCHID",,
1012,"PACKAGE",,
1013,"PAINT",,
1014,"PALE/PALLID",,
1015,"PALM/PALM LEAF",,
1017,"PATIO",,
1018,"PEACOCK",,
1022,"PERSUADE",,
1023,"PINK",,
1025,"PLACE-NAMES",,
1026,"PLACENTA",,
1027,"PLANE/v",,
1028,"PLANT/n",,
1029,"PLAY/games",,
1030,"PLEASANT",,
1031,"PLEASE",,
1032,"PLEIADES",,
1033,"PLUCK",,
1034,"POCKED",,
1035,"POINT OUT/SHOW",,
1036,"POKE",,
1037,"POSSESS",,
1038,"POSSIBLE",,
1040,"PRACTICE",,
1041,"PRAYING MANTIS",,
1042,"PREDICT",,
1044,"PREPARE",,
1045,"PRETEND",,
1048,"PRONOUN/reflexive",,
1049,"PROUD/HAUGHTY",,
1050,"PUNISH",,
1052,"QUENCH/PUT OUT",,
1054,"QUITE",,
1055,"RAISE/LIFT",,
1058,"REACH",,
1060,"REBUKE",,
1061,"RECOVER/GET WELL",,
1062,"REED/CANE",,
1063,"REFLECTION",,
1065,"REMAIN/STAY",,
1067,"REMOVE",,
1070,"REPEL/DRIVE BACK",,
1071,"REPLACE",,
1072,"RESPECT",,
1073,"REST/v",,
1074,"RETURN/COME BACK",,
1075,"RETURN/GIVE BACK",,
1078,"RIDICULE",,
1079,"RIGHT/CORRECT",,
1080,"ROLL/v",,
1083,"RUBBER",,
1084,"RUBBER TREE",,
1086,"RUST",,
1087,"SARDINE",,
1088,"SATURN",,
1089,"SAVE/RESCUE",,
1090,"SAWDUST",,
1091,"SCARECROW",,
1092,"SCEPTER",,
1094,"SCREECH",,
1098,"SEEK",,
1103,"SERVE",,
1107,"SHARPEN",,
1110,"SHELL/n",,
1111,"SHELL/v",,
1113,"SHOULD",,
1116,"SIGN/SYMBOL",,
1117,"SINCE",,
1118,"SINK/v",,
1119,"SIXTEEN THOUSAND",,
1120,"SKILL",,
1121,"SLOPE",,
1125,"SNAKE/boa",,
1127,"SOAK",,
1128,"SOME/ANY",,
1134,"SPIT/v",,
1135,"SPLATTER",,
1136,"SPLIT/CLEAVE",,
1137,"SPONTANEOUS",,
1138,"SPOTTED/SPECKLED",,
1139,"SPRAY",,
1140,"SPROUT",,
